,#,Transaction Date,Owner,Ticker,Asset Name,Asset Type,Type,Amount,Comment,Senator
12601,39,11/10/2015,Joint,--,PG,Stock,Sale (Partial),"$50,001 - $100,000",--,"David A,Perdue , Jr"
12602,38,11/10/2015,Joint,--,MSFT,Stock,Sale (Partial),"$15,001 - $50,000",--,"David A,Perdue , Jr"
12603,37,11/10/2015,Joint,--,VIAB,Stock,Sale (Partial),"$1,001 - $15,000",--,"David A,Perdue , Jr"
12604,36,11/10/2015,Joint,--,XOM,Stock,Sale (Partial),"$1,001 - $15,000",--,"David A,Perdue , Jr"
12605,35,11/10/2015,Joint,--,COP,Stock,Sale (Partial),"$1,001 - $15,000",--,"David A,Perdue , Jr"
12606,34,11/10/2015,Joint,--,ANTM,Stock,Sale (Partial),"$1,001 - $15,000",--,"David A,Perdue , Jr"
12607,33,11/10/2015,Joint,--,AVP,Stock,Sale (Partial),"$1,001 - $15,000",--,"David A,Perdue , Jr"
12608,32,11/10/2015,Joint,--,KO,Stock,Sale (Partial),"$15,001 - $50,000",--,"David A,Perdue , Jr"
12609,31,11/10/2015,Joint,--,SYK,Stock,Sale (Partial),"$1,001 - $15,000",--,"David A,Perdue , Jr"
12610,30,11/10/2015,Joint,--,FOXA,Stock,Sale (Partial),"$50,001 - $100,000",--,"David A,Perdue , Jr"
12611,29,11/10/2015,Joint,--,CHRW,Stock,Sale (Partial),"$1,001 - $15,000",--,"David A,Perdue , Jr"
12612,28,11/10/2015,Joint,--,SYY,Stock,Sale (Partial),"$15,001 - $50,000",--,"David A,Perdue , Jr"
12613,27,11/10/2015,Joint,--,Sigma-Aldrich Corp CMN,Stock,Sale (Full),"$1,001 - $15,000",--,"David A,Perdue , Jr"
12614,26,11/10/2015,Joint,--,WFC,Stock,Sale (Partial),"$1,001 - $15,000",--,"David A,Perdue , Jr"
12615,25,11/10/2015,Joint,--,WMT,Stock,Sale (Partial),"$1,001 - $15,000",--,"David A,Perdue , Jr"
12616,24,11/10/2015,Joint,--,CSCO,Stock,Sale (Partial),"$15,001 - $50,000",--,"David A,Perdue , Jr"
12617,23,11/10/2015,Joint,--,BK,Stock,Sale (Full),"$1,001 - $15,000",--,"David A,Perdue , Jr"
12618,22,11/10/2015,Joint,--,CLX,Stock,Sale (Partial),"$1,001 - $15,000",--,"David A,Perdue , Jr"
12619,21,11/10/2015,Joint,--,USB,Stock,Sale (Partial),"$15,001 - $50,000",--,"David A,Perdue , Jr"
12620,20,11/10/2015,Joint,--,FOX,Stock,Sale (Partial),"$15,001 - $50,000",--,"David A,Perdue , Jr"
12621,19,11/10/2015,Joint,--,PEP,Stock,Sale (Partial),"$50,001 - $100,000",--,"David A,Perdue , Jr"
12622,18,11/10/2015,Joint,--,ORCL,Stock,Sale (Partial),"$15,001 - $50,000",--,"David A,Perdue , Jr"
12623,17,11/10/2015,Joint,--,UN,Stock,Sale (Partial),"$1,001 - $15,000",--,"David A,Perdue , Jr"
12624,16,11/10/2015,Joint,--,BCR,Stock,Sale (Partial),"$1,001 - $15,000",--,"David A,Perdue , Jr"
12625,15,11/06/2015,Joint,--,CVC,Stock,Sale (Partial),"$15,001 - $50,000",--,"David A,Perdue , Jr"
12626,14,11/05/2015,Joint,--,CVC,Stock,Sale (Partial),"$1,001 - $15,000",--,"David A,Perdue , Jr"
12627,13,11/04/2015,Joint,--,Tesoro Logistics CMN,Stock,Purchase,"$1,001 - $15,000",--,"David A,Perdue , Jr"
12628,12,11/03/2015,Joint,--,Tesoro Logistics CMN,Stock,Purchase,"$1,001 - $15,000",--,"David A,Perdue , Jr"
12629,11,11/03/2015,Joint,--,Deere & Co CMN,Stock,Sale (Full),"$1,001 - $15,000",--,"David A,Perdue , Jr"
12630,10,11/03/2015,Joint,--,Cabela's Inc CMN,Stock,Purchase,"$1,001 - $15,000",--,"David A,Perdue , Jr"
12631,9,11/03/2015,Joint,--,Westlake Chemical Corp CMN,Stock,Purchase,"$1,001 - $15,000",--,"David A,Perdue , Jr"
12632,8,11/02/2015,Joint,--,Cabela's Inc CMN,Stock,Purchase,"$1,001 - $15,000",--,"David A,Perdue , Jr"
12633,7,10/30/2015,Joint,--,Westlake Chemical Corp CMN,Stock,Purchase,"$1,001 - $15,000",--,"David A,Perdue , Jr"
12634,6,10/29/2015,Joint,--,Tesoro Logistics LP CMN,Stock,Purchase,"$1,001 - $15,000",--,"David A,Perdue , Jr"
12635,5,10/29/2015,Joint,--,Viacom Inc CMN,Stock,Sale (Partial),"$1,001 - $15,000",--,"David A,Perdue , Jr"
12636,4,10/29/2015,Joint,--,21st Century Fox CMN,Stock,Purchase,"$1,001 - $15,000",--,"David A,Perdue , Jr"
12637,3,10/29/2015,Joint,--,Cabela's Inc CMN,Stock,Purchase,"$1,001 - $15,000",--,"David A,Perdue , Jr"
12638,2,10/28/2015,Joint,--,Cabela's Inc CMN,Stock,Purchase,"$1,001 - $15,000",--,"David A,Perdue , Jr"
12639,1,10/28/2015,Joint,--,Aaron Rents Inc CMN,Stock,Sale (Partial),"$1,001 - $15,000",--,"David A,Perdue , Jr"
12640,45,12/02/2016,Joint,DIS,The Walt Disney Company,Stock,Purchase,"$1,001 - $15,000",--,"David A,Perdue , Jr"
12641,44,12/02/2016,Joint,BAC,Bank of America Corporation,Stock,Sale (Partial),"$1,001 - $15,000",--,"David A,Perdue , Jr"
12642,43,12/02/2016,Joint,VSM,"Versum Materials, Inc.",Stock,Purchase,"$1,001 - $15,000",--,"David A,Perdue , Jr"
12643,42,12/01/2016,Joint,DIS,The Walt Disney Company,Stock,Purchase,"$1,001 - $15,000",--,"David A,Perdue , Jr"
12644,41,11/29/2016,Joint,ENTG,"Entegris, Inc.",Stock,Sale (Partial),"$1,001 - $15,000",--,"David A,Perdue , Jr"
12645,40,11/28/2016,Joint,DIS,The Walt Disney Company,Stock,Purchase,"$1,001 - $15,000",--,"David A,Perdue , Jr"
12646,39,11/25/2016,Joint,ENTG,"Entegris, Inc.",Stock,Sale (Partial),"$1,001 - $15,000",--,"David A,Perdue , Jr"
12647,38,11/23/2016,Joint,FOXA,"Twenty-First Century Fox, Inc.",Stock,Sale (Partial),"$1,001 - $15,000",--,"David A,Perdue , Jr"
12648,37,11/18/2016,Joint,FEYE,"FireEye, Inc.",Stock,Purchase,"$1,001 - $15,000",--,"David A,Perdue , Jr"
12649,36,11/18/2016,Joint,WMB,"Williams Companies, Inc.",Stock,Purchase,"$15,001 - $50,000",--,"David A,Perdue , Jr"
12650,35,11/18/2016,Joint,SE,Spectra Energy Corp.,Stock,Sale (Partial),"$15,001 - $50,000",--,"David A,Perdue , Jr"
12651,34,11/18/2016,Joint,SLB,Schlumberger Limited,Stock,Purchase,"$15,001 - $50,000",--,"David A,Perdue , Jr"
12652,33,11/18/2016,Joint,WMB,"Williams Companies, Inc.",Stock,Purchase,"$15,001 - $50,000",--,"David A,Perdue , Jr"
12653,32,11/18/2016,Joint,SE,Spectra Energy Corp.,Stock,Sale (Partial),"$15,001 - $50,000",--,"David A,Perdue , Jr"
12654,31,11/18/2016,Joint,KHC,The Kraft Heinz Company,Stock,Purchase,"$1,001 - $15,000",--,"David A,Perdue , Jr"
12655,30,11/18/2016,Joint,EXR,Extra Space Storage Inc.,Stock,Purchase,"$1,001 - $15,000",--,"David A,Perdue , Jr"
12656,29,11/18/2016,Joint,EXR,Extra Space Storage Inc.,Stock,Purchase,"$15,001 - $50,000",--,"David A,Perdue , Jr"
12657,28,11/18/2016,Joint,DIS,The Walt Disney Company,Stock,Purchase,"$1,001 - $15,000",--,"David A,Perdue , Jr"
12658,27,11/18/2016,Joint,DIS,The Walt Disney Company,Stock,Purchase,"$1,001 - $15,000",--,"David A,Perdue , Jr"
12659,26,11/17/2016,Joint,BAC,Bank of America Corporation,Stock,Sale (Partial),"$1,001 - $15,000",--,"David A,Perdue , Jr"
12660,25,11/17/2016,Joint,BAC,Bank of America Corporation,Stock,Sale (Partial),"$1,001 - $15,000",--,"David A,Perdue , Jr"
12661,24,11/16/2016,Joint,BAC,Bank of America Corporation,Stock,Sale (Partial),"$1,001 - $15,000",--,"David A,Perdue , Jr"
12662,23,11/15/2016,Joint,DIS,The Walt Disney Company,Stock,Purchase,"$1,001 - $15,000",--,"David A,Perdue , Jr"
12663,22,11/15/2016,Joint,DIS,The Walt Disney Company,Stock,Purchase,"$1,001 - $15,000",--,"David A,Perdue , Jr"
12664,21,11/15/2016,Joint,VSM,"Versum Materials, Inc.",Stock,Purchase,"$1,001 - $15,000",--,"David A,Perdue , Jr"
12665,20,11/15/2016,Joint,CAB,Cabela's Incorporated,Stock,Sale (Full),"$15,001 - $50,000",--,"David A,Perdue , Jr"
12666,19,11/11/2016,Joint,GEL,Genesis Energy LP,Stock,Sale (Partial),"$1,001 - $15,000",--,"David A,Perdue , Jr"
12667,18,11/11/2016,Joint,WMB,"Williams Companies, Inc.",Stock,Purchase,"$1,001 - $15,000",--,"David A,Perdue , Jr"
12668,17,11/11/2016,Joint,DIS,The Walt Disney Company,Stock,Purchase,"$1,001 - $15,000",--,"David A,Perdue , Jr"
12669,16,11/10/2016,Joint,WMB,"Williams Companies, Inc.",Stock,Purchase,"$1,001 - $15,000",--,"David A,Perdue , Jr"
12670,15,11/10/2016,Joint,WMB,"Williams Companies, Inc.",Stock,Purchase,"$1,001 - $15,000",--,"David A,Perdue , Jr"
12671,14,11/10/2016,Joint,WMB,"Williams Companies, Inc.",Stock,Purchase,"$1,001 - $15,000",--,"David A,Perdue , Jr"
12672,13,11/10/2016,Joint,DIS,The Walt Disney Company,Stock,Purchase,"$15,001 - $50,000",--,"David A,Perdue , Jr"
12673,12,11/10/2016,Joint,--,CAB - Cabela's Incorporated,Stock,Sale (Partial),"$1,001 - $15,000",--,"David A,Perdue , Jr"
12674,11,11/10/2016,Joint,DIS,The Walt Disney Company,Stock,Purchase,"$1,001 - $15,000",--,"David A,Perdue , Jr"
12675,10,11/09/2016,Joint,DPM,DCP Midstream Partners LP,Stock,Sale (Partial),"$15,001 - $50,000",--,"David A,Perdue , Jr"
12676,9,11/08/2016,Joint,BAX,Baxter International Inc.,Stock,Sale (Partial),"$1,001 - $15,000",--,"David A,Perdue , Jr"
12677,8,11/08/2016,Joint,WLK,Westlake Chemical Corp.,Stock,Purchase,"$1,001 - $15,000",--,"David A,Perdue , Jr"
12678,7,11/08/2016,Joint,VSM,"Versum Materials, Inc.",Stock,Purchase,"$1,001 - $15,000",--,"David A,Perdue , Jr"
12679,6,11/07/2016,Joint,SPY,SPDR S&P 500 ETF,Stock,Sale (Full),"$1,001 - $15,000",--,"David A,Perdue , Jr"
12680,5,11/07/2016,Joint,SPY,SPDR S&P 500 ETF,Stock,Sale (Partial),"$50,001 - $100,000",--,"David A,Perdue , Jr"
12681,4,11/07/2016,Joint,BAX,Baxter International Inc.,Stock,Sale (Partial),"$1,001 - $15,000",--,"David A,Perdue , Jr"
12682,3,11/07/2016,Joint,VIAB,"Viacom, Inc.",Stock,Purchase,"$1,001 - $15,000",--,"David A,Perdue , Jr"
12683,2,11/07/2016,Joint,MOS,The Mosaic Company,Stock,Purchase,"$100,001 - $250,000",--,"David A,Perdue , Jr"
12684,1,11/07/2016,Joint,VSM,"Versum Materials, Inc.",Stock,Purchase,"$1,001 - $15,000",--,"David A,Perdue , Jr"
12685,81,11/30/2018,Joint,LGF-B,Lions Gate Entertainment Corp.,Stock,Purchase,"$1,001 - $15,000",--,"David A,Perdue , Jr"
12686,80,11/29/2018,Joint,KMI,"Kinder Morgan, Inc.",Stock,Purchase,"$15,001 - $50,000",--,"David A,Perdue , Jr"
12687,79,11/29/2018,Joint,WMB,"The Williams Companies, Inc.",Stock,Sale (Partial),"$15,001 - $50,000",--,"David A,Perdue , Jr"
12688,78,11/28/2018,Joint,GPK,Graphic Packaging Holding Company,Stock,Purchase,"$1,001 - $15,000",--,"David A,Perdue , Jr"
12689,77,11/28/2018,Joint,LGF-B,Lions Gate Entertainment Corp.,Stock,Purchase,"$1,001 - $15,000",--,"David A,Perdue , Jr"
12690,76,11/28/2018,Joint,--,"FLORIDA ST DEPT GEN SVCS DIV
Rate/Coupon: 5.0%
Matures: 09/01/24",Municipal Security,Sale (Full),"$250,001 - $500,000",--,"David A,Perdue , Jr"
12691,75,11/28/2018,Joint,--,"WISCONSIN ST GO
Rate/Coupon: 5.0%
Matures: 05/01/22",Municipal Security,Sale (Full),"$250,001 - $500,000",--,"David A,Perdue , Jr"
12692,74,11/28/2018,Joint,--,"SNOHOMISH CNTY WASH SCH DIST GO
Rate/Coupon: 5.0%
Matures: 12/01/23",Municipal Security,Sale (Full),"$250,001 - $500,000",--,"David A,Perdue , Jr"
12693,73,11/28/2018,Joint,--,"GEORGIA MUN ELEC AUTH PWR REV
Rate/Coupon: 5.0%
Matures: 01/01/22",Municipal Security,Sale (Full),"$100,001 - $250,000",--,"David A,Perdue , Jr"
12694,72,11/28/2018,Joint,--,"STATE OF CONNECTICUT GO
Rate/Coupon: 5.0%
Matures: 03/15/23",Municipal Security,Sale (Full),"$250,001 - $500,000",--,"David A,Perdue , Jr"
12695,71,11/27/2018,Joint,AAPL,Apple Inc.,Stock,Purchase,"$1,001 - $15,000",--,"David A,Perdue , Jr"
12696,70,11/27/2018,Joint,AAPL,Apple Inc.,Stock,Purchase,"$1,001 - $15,000",--,"David A,Perdue , Jr"
12697,69,11/27/2018,Joint,AAPL,Apple Inc.,Stock,Purchase,"$1,001 - $15,000",--,"David A,Perdue , Jr"
12698,68,11/27/2018,Joint,AAPL,Apple Inc.,Stock,Purchase,"$1,001 - $15,000",--,"David A,Perdue , Jr"
12699,67,11/27/2018,Joint,DISCA,"Discovery, Inc.",Stock,Sale (Full),"$15,001 - $50,000",--,"David A,Perdue , Jr"
12700,66,11/27/2018,Joint,DISCA,"Discovery, Inc.",Stock,Sale (Partial),"$1,001 - $15,000",--,"David A,Perdue , Jr"
12701,65,11/27/2018,Joint,LGF-B,Lions Gate Entertainment Corp.,Stock,Purchase,"$1,001 - $15,000",--,"David A,Perdue , Jr"
12702,64,11/27/2018,Joint,AAPL,Apple Inc.,Stock,Purchase,"$1,001 - $15,000",--,"David A,Perdue , Jr"
12703,63,11/27/2018,Joint,LGF-B,Lions Gate Entertainment Corp.,Stock,Purchase,"$1,001 - $15,000",--,"David A,Perdue , Jr"
12704,62,11/26/2018,Joint,DISCA,"Discovery, Inc.",Stock,Sale (Partial),"$1,001 - $15,000",--,"David A,Perdue , Jr"
12705,61,11/26/2018,Joint,LGF-B,Lions Gate Entertainment Corp.,Stock,Purchase,"$1,001 - $15,000",--,"David A,Perdue , Jr"
12706,60,11/26/2018,Joint,DVN,Devon Energy Corporation,Stock,Sale (Full),"$50,001 - $100,000",--,"David A,Perdue , Jr"
12707,59,11/26/2018,Joint,SPY,SPDR S&P 500 ETF,Stock,Purchase,"$500,001 - $1,000,000",--,"David A,Perdue , Jr"
12708,58,11/26/2018,Joint,HBI,Hanesbrands Inc.,Stock,Sale (Full),"$100,001 - $250,000",--,"David A,Perdue , Jr"
12709,57,11/26/2018,Joint,FDC,First Data Corporation,Stock,Sale (Full),"$100,001 - $250,000",--,"David A,Perdue , Jr"
12710,56,11/26/2018,Joint,AXTA,Axalta Coating Systems Ltd.,Stock,Sale (Full),"$100,001 - $250,000",--,"David A,Perdue , Jr"
12711,55,11/21/2018,Joint,DISCA,"Discovery, Inc.",Stock,Sale (Partial),"$1,001 - $15,000",--,"David A,Perdue , Jr"
12712,54,11/20/2018,Joint,PFE,Pfizer Inc.,Stock,Sale (Full),"$15,001 - $50,000",--,"David A,Perdue , Jr"
12713,53,11/20/2018,Joint,VLP,Valero Energy Partners LP,Stock,Sale (Partial),"$1,001 - $15,000",--,"David A,Perdue , Jr"
12714,52,11/20/2018,Joint,DISCA,"Discovery, Inc.",Stock,Sale (Partial),"$1,001 - $15,000",--,"David A,Perdue , Jr"
12715,51,11/20/2018,Joint,FDC,First Data Corporation,Stock,Purchase,"$1,001 - $15,000",--,"David A,Perdue , Jr"
12716,50,11/20/2018,Joint,DISCA,"Discovery, Inc.",Stock,Sale (Partial),"$1,001 - $15,000",--,"David A,Perdue , Jr"
12717,49,11/20/2018,Joint,LGF-B,Lions Gate Entertainment Corp.,Stock,Purchase,"$1,001 - $15,000",--,"David A,Perdue , Jr"
12718,48,11/20/2018,Joint,GPK,Graphic Packaging Holding Company,Stock,Purchase,"$1,001 - $15,000",--,"David A,Perdue , Jr"
12719,47,11/20/2018,Joint,MOS,The Mosaic Company,Stock,Sale (Partial),"$1,001 - $15,000",--,"David A,Perdue , Jr"
12720,46,11/19/2018,Joint,PFE,Pfizer Inc.,Stock,Sale (Partial),"$1,001 - $15,000",--,"David A,Perdue , Jr"
12721,45,11/19/2018,Joint,LGF-B,Lions Gate Entertainment Corp.,Stock,Purchase,"$1,001 - $15,000",--,"David A,Perdue , Jr"
12722,44,11/19/2018,Joint,PFE,Pfizer Inc.,Stock,Sale (Partial),"$1,001 - $15,000",--,"David A,Perdue , Jr"
12723,43,11/19/2018,Joint,FDC,First Data Corporation,Stock,Purchase,"$1,001 - $15,000",--,"David A,Perdue , Jr"
12724,42,11/19/2018,Joint,FDC,First Data Corporation,Stock,Purchase,"$1,001 - $15,000",--,"David A,Perdue , Jr"
12725,41,11/16/2018,Joint,LGF-B,Lions Gate Entertainment Corp.,Stock,Purchase,"$1,001 - $15,000",--,"David A,Perdue , Jr"
12726,40,11/15/2018,Joint,FDC,First Data Corporation,Stock,Purchase,"$1,001 - $15,000",--,"David A,Perdue , Jr"
12727,39,11/15/2018,Joint,FDC,First Data Corporation,Stock,Purchase,"$1,001 - $15,000",--,"David A,Perdue , Jr"
12728,38,11/15/2018,Joint,FDC,First Data Corporation,Stock,Purchase,"$1,001 - $15,000",--,"David A,Perdue , Jr"
12729,37,11/14/2018,Joint,VLP,Valero Energy Partners LP,Stock,Sale (Partial),"$1,001 - $15,000",--,"David A,Perdue , Jr"
12730,36,11/14/2018,Joint,DISCA,"Discovery, Inc.",Stock,Sale (Partial),"$1,001 - $15,000",--,"David A,Perdue , Jr"
12731,35,11/14/2018,Joint,LGF-B,Lions Gate Entertainment Corp.,Stock,Purchase,"$1,001 - $15,000",--,"David A,Perdue , Jr"
12732,34,11/14/2018,Joint,MOS,The Mosaic Company,Stock,Sale (Partial),"$1,001 - $15,000",--,"David A,Perdue , Jr"
12733,33,11/13/2018,Joint,KN,Knowles Corporation,Stock,Sale (Partial),"$1,001 - $15,000",--,"David A,Perdue , Jr"
12734,32,11/13/2018,Joint,DISCA,"Discovery, Inc.",Stock,Sale (Partial),"$1,001 - $15,000",--,"David A,Perdue , Jr"
12735,31,11/13/2018,Joint,LGF-B,Lions Gate Entertainment Corp.,Stock,Purchase,"$1,001 - $15,000",--,"David A,Perdue , Jr"
12736,30,11/13/2018,Joint,MOS,The Mosaic Company,Stock,Sale (Partial),"$1,001 - $15,000",--,"David A,Perdue , Jr"
12737,29,11/13/2018,Joint,MOS,The Mosaic Company,Stock,Sale (Partial),"$1,001 - $15,000",--,"David A,Perdue , Jr"
12738,28,11/12/2018,Joint,LGF-B,Lions Gate Entertainment Corp.,Stock,Purchase,"$1,001 - $15,000",--,"David A,Perdue , Jr"
12739,27,11/12/2018,Joint,PFE,Pfizer Inc.,Stock,Sale (Partial),"$1,001 - $15,000",--,"David A,Perdue , Jr"
12740,26,11/12/2018,Joint,KN,Knowles Corporation,Stock,Sale (Partial),"$1,001 - $15,000",--,"David A,Perdue , Jr"
12741,25,11/12/2018,Joint,LGF-B,Lions Gate Entertainment Corp.,Stock,Purchase,"$1,001 - $15,000",--,"David A,Perdue , Jr"
12742,24,11/12/2018,Joint,FDC,First Data Corporation,Stock,Purchase,"$1,001 - $15,000",--,"David A,Perdue , Jr"
12743,23,11/12/2018,Joint,FDC,First Data Corporation,Stock,Purchase,"$1,001 - $15,000",--,"David A,Perdue , Jr"
12744,22,11/09/2018,Joint,LGF-B,Lions Gate Entertainment Corp.,Stock,Purchase,"$15,001 - $50,000",--,"David A,Perdue , Jr"
12745,21,11/09/2018,Joint,PFE,Pfizer Inc.,Stock,Sale (Partial),"$1,001 - $15,000",--,"David A,Perdue , Jr"
12746,20,11/08/2018,Joint,PFE,Pfizer Inc.,Stock,Sale (Partial),"$1,001 - $15,000",--,"David A,Perdue , Jr"
12747,19,11/08/2018,Joint,DISCA,"Discovery, Inc.",Stock,Sale (Partial),"$1,001 - $15,000",--,"David A,Perdue , Jr"
12748,18,11/08/2018,Joint,DISCA,"Discovery, Inc.",Stock,Sale (Partial),"$1,001 - $15,000",--,"David A,Perdue , Jr"
12749,17,11/08/2018,Joint,FEYE,"FireEye, Inc.",Stock,Sale (Partial),"$1,001 - $15,000",--,"David A,Perdue , Jr"
12750,16,11/07/2018,Joint,DISCA,"Discovery, Inc.",Stock,Sale (Partial),"$1,001 - $15,000",--,"David A,Perdue , Jr"
12751,15,11/07/2018,Joint,FEYE,"FireEye, Inc.",Stock,Sale (Partial),"$1,001 - $15,000",--,"David A,Perdue , Jr"
12752,14,11/07/2018,Joint,FEYE,"FireEye, Inc.",Stock,Sale (Partial),"$1,001 - $15,000",--,"David A,Perdue , Jr"
12753,13,11/07/2018,Joint,FEYE,"FireEye, Inc.",Stock,Sale (Partial),"$1,001 - $15,000",--,"David A,Perdue , Jr"
12754,12,11/06/2018,Joint,FDC,First Data Corporation,Stock,Purchase,"$1,001 - $15,000",--,"David A,Perdue , Jr"
12755,11,11/06/2018,Joint,DISCA,"Discovery, Inc.",Stock,Sale (Partial),"$1,001 - $15,000",--,"David A,Perdue , Jr"
12756,10,11/05/2018,Joint,PFE,Pfizer Inc.,Stock,Sale (Partial),"$15,001 - $50,000",--,"David A,Perdue , Jr"
12757,9,11/05/2018,Joint,GPK,Graphic Packaging Holding Company,Stock,Purchase,"$1,001 - $15,000",--,"David A,Perdue , Jr"
12758,8,11/05/2018,Joint,FDC,First Data Corporation,Stock,Purchase,"$1,001 - $15,000",--,"David A,Perdue , Jr"
12759,7,11/05/2018,Joint,MOS,The Mosaic Company,Stock,Sale (Partial),"$1,001 - $15,000",--,"David A,Perdue , Jr"
12760,6,11/05/2018,Joint,MOS,The Mosaic Company,Stock,Sale (Partial),"$1,001 - $15,000",--,"David A,Perdue , Jr"
12761,5,11/05/2018,Joint,DISCA,"Discovery, Inc.",Stock,Sale (Partial),"$1,001 - $15,000",--,"David A,Perdue , Jr"
12762,4,11/05/2018,Joint,DISCA,"Discovery, Inc.",Stock,Sale (Partial),"$1,001 - $15,000",--,"David A,Perdue , Jr"
12763,3,11/02/2018,Joint,GPK,Graphic Packaging Holding Company,Stock,Purchase,"$1,001 - $15,000",--,"David A,Perdue , Jr"
12764,2,11/02/2018,Joint,PFE,Pfizer Inc.,Stock,Sale (Partial),"$1,001 - $15,000",--,"David A,Perdue , Jr"
12765,1,11/02/2018,Joint,DISCA,"Discovery, Inc.",Stock,Sale (Partial),"$1,001 - $15,000",--,"David A,Perdue , Jr"
12766,55,01/29/2016,Joint,PFE,Pfizer Inc.,Stock,Sale (Partial),"$1,001 - $15,000",--,"David A,Perdue , Jr"
12767,54,01/29/2016,Joint,WLK,Westlake Chemical Corp.,Stock,Purchase,"$1,001 - $15,000",--,"David A,Perdue , Jr"
12768,53,01/29/2016,Joint,WLK,Westlake Chemical Corp.,Stock,Purchase,"$1,001 - $15,000",--,"David A,Perdue , Jr"
12769,52,01/29/2016,Joint,LYV,"Live Nation Entertainment, Inc.",Stock,Purchase,"$1,001 - $15,000",--,"David A,Perdue , Jr"
12770,51,01/29/2016,Joint,WFM,"Whole Foods Market, Inc.",Stock,Purchase,"$1,001 - $15,000",--,"David A,Perdue , Jr"
12771,50,01/28/2016,Joint,PFE,Pfizer Inc.,Stock,Sale (Partial),"$1,001 - $15,000",--,"David A,Perdue , Jr"
12772,49,01/28/2016,Joint,AAPL,Apple Inc.,Stock,Purchase,"$1,001 - $15,000",--,"David A,Perdue , Jr"
12773,48,01/28/2016,Joint,HYH,"Halyard Health, Inc.",Stock,Purchase,"$1,001 - $15,000",--,"David A,Perdue , Jr"
12774,47,01/28/2016,Joint,PFE,Pfizer Inc.,Stock,Sale (Partial),"$1,001 - $15,000",--,"David A,Perdue , Jr"
12775,46,01/27/2016,Joint,PFE,Pfizer Inc.,Stock,Sale (Partial),"$1,001 - $15,000",--,"David A,Perdue , Jr"
12776,45,01/27/2016,Joint,AAPL,Apple Inc.,Stock,Purchase,"$15,001 - $50,000",--,"David A,Perdue , Jr"
12777,44,01/27/2016,Joint,MSFT,Microsoft Corporation,Stock,Sale (Partial),"$1,001 - $15,000",--,"David A,Perdue , Jr"
12778,43,01/27/2016,Joint,AAPL,Apple Inc.,Stock,Purchase,"$1,001 - $15,000",--,"David A,Perdue , Jr"
12779,42,01/27/2016,Joint,AAPL,Apple Inc.,Stock,Purchase,"$1,001 - $15,000",--,"David A,Perdue , Jr"
12780,41,01/27/2016,Joint,PFE,Pfizer Inc.,Stock,Sale (Partial),"$1,001 - $15,000",--,"David A,Perdue , Jr"
12781,40,01/27/2016,Joint,AAPL,Apple Inc.,Stock,Purchase,"$1,001 - $15,000",--,"David A,Perdue , Jr"
12782,39,01/27/2016,Joint,MSFT,Microsoft Corporation,Stock,Sale (Partial),"$1,001 - $15,000",--,"David A,Perdue , Jr"
12783,38,01/26/2016,Joint,HYH,"Halyard Health, Inc.",Stock,Purchase,"$1,001 - $15,000",--,"David A,Perdue , Jr"
12784,37,01/25/2016,Joint,PFE,Pfizer Inc.,Stock,Sale (Partial),"$1,001 - $15,000",--,"David A,Perdue , Jr"
12785,36,01/25/2016,Joint,HYH,"Halyard Health, Inc.",Stock,Purchase,"$1,001 - $15,000",--,"David A,Perdue , Jr"
12786,35,01/22/2016,Joint,MSFT,Microsoft Corporation,Stock,Sale (Partial),"$1,001 - $15,000",--,"David A,Perdue , Jr"
12787,34,01/22/2016,Joint,HYH,"Halyard Health, Inc.",Stock,Purchase,"$1,001 - $15,000",--,"David A,Perdue , Jr"
12788,33,01/22/2016,Joint,PFE,Pfizer Inc.,Stock,Sale (Partial),"$1,001 - $15,000",--,"David A,Perdue , Jr"
12789,32,01/21/2016,Joint,HYH,"Halyard Health, Inc.",Stock,Purchase,"$1,001 - $15,000",--,"David A,Perdue , Jr"
12790,31,01/21/2016,Joint,GE,General Electric Company,Stock,Sale (Partial),"$1,001 - $15,000",--,"David A,Perdue , Jr"
12791,30,01/21/2016,Joint,GE,General Electric Company,Stock,Sale (Partial),"$1,001 - $15,000",--,"David A,Perdue , Jr"
12792,29,01/20/2016,Joint,BAC,Bank of America Corporation,Stock,Purchase,"$1,001 - $15,000",--,"David A,Perdue , Jr"
12793,28,01/20/2016,Joint,PG,The Procter &amp; Gamble Company,Stock,Purchase,"$15,001 - $50,000",--,"David A,Perdue , Jr"
12794,27,01/20/2016,Joint,MO,Altria Group Inc.,Stock,Purchase,"$1,001 - $15,000",--,"David A,Perdue , Jr"
12795,26,01/20/2016,Joint,WMB,"Williams Companies, Inc.",Stock,Sale (Partial),"$1,001 - $15,000",--,"David A,Perdue , Jr"
12796,25,01/20/2016,Joint,NKE,"NIKE, Inc.",Stock,Purchase,"$1,001 - $15,000",--,"David A,Perdue , Jr"
12797,24,01/20/2016,Joint,V,Visa Inc.,Stock,Purchase,"$1,001 - $15,000",--,"David A,Perdue , Jr"
12798,23,01/20/2016,Joint,KHC,The Kraft Heinz Company,Stock,Purchase,"$15,001 - $50,000",--,"David A,Perdue , Jr"
12799,22,01/20/2016,Joint,WFM,"Whole Foods Market, Inc.",Stock,Purchase,"$1,001 - $15,000",--,"David A,Perdue , Jr"
